2016-06-15 11:12:30.553  Errlog:SimpleLogModule.cpp(175) LOG_MODULE_INIT log_file_name not set, use default name default.log
2016-06-15 11:12:30.554  Errlog:SimpleLogModule.cpp(197) LOG_MODULE_INIT log level not set, use default level Log_Level_Disable
2016-06-15 11:12:30.555  Errlog:SimpleLogModule.cpp(225) LOG_MODULE_INIT log_mode not set, use default mode Log_Mode_Simple
2016-06-15 11:12:30.556  Errlog:SimpleLogModule.cpp(246) LOG_MODULE_INIT max_file_size is 0 or not set, use default size(20M)
2016-06-15 11:12:30.557  Errlog:SimpleLogModule.cpp(273) LOG_MODULE_INIT log format not set, use default format %D%T%E%N
2016-06-15 11:12:43.756  Errlog:SimpleLogModule.cpp(175) LOG_MODULE_INIT log_file_name not set, use default name default.log
2016-06-15 11:12:43.757  Errlog:SimpleLogModule.cpp(197) LOG_MODULE_INIT log level not set, use default level Log_Level_Disable
2016-06-15 11:12:43.758  Errlog:SimpleLogModule.cpp(225) LOG_MODULE_INIT log_mode not set, use default mode Log_Mode_Simple
2016-06-15 11:12:43.759  Errlog:SimpleLogModule.cpp(246) LOG_MODULE_INIT max_file_size is 0 or not set, use default size(20M)
2016-06-15 11:12:43.786  Errlog:SimpleLogModule.cpp(273) LOG_MODULE_INIT log format not set, use default format %D%T%E%N
2016-06-15 11:29:37.976  Errlog:SimpleLogModule.cpp(175) LOG_MODULE_INIT log_file_name not set, use default name default.log
2016-06-15 11:29:37.977  Errlog:SimpleLogModule.cpp(197) LOG_MODULE_INIT log level not set, use default level Log_Level_Disable
2016-06-15 11:29:37.979  Errlog:SimpleLogModule.cpp(225) LOG_MODULE_INIT log_mode not set, use default mode Log_Mode_Simple
2016-06-15 11:29:37.980  Errlog:SimpleLogModule.cpp(246) LOG_MODULE_INIT max_file_size is 0 or not set, use default size(20M)
2016-06-15 11:29:37.981  Errlog:SimpleLogModule.cpp(273) LOG_MODULE_INIT log format not set, use default format %D%T%E%N
2016-06-15 11:31:33.553  Errlog:SimpleLogModule.cpp(175) LOG_MODULE_INIT log_file_name not set, use default name default.log
2016-06-15 11:31:33.554  Errlog:SimpleLogModule.cpp(197) LOG_MODULE_INIT log level not set, use default level Log_Level_Disable
2016-06-15 11:31:33.555  Errlog:SimpleLogModule.cpp(225) LOG_MODULE_INIT log_mode not set, use default mode Log_Mode_Simple
2016-06-15 11:31:33.556  Errlog:SimpleLogModule.cpp(246) LOG_MODULE_INIT max_file_size is 0 or not set, use default size(20M)
2016-06-15 11:31:33.557  Errlog:SimpleLogModule.cpp(273) LOG_MODULE_INIT log format not set, use default format %D%T%E%N
